"10.1016/j.pain.2004.09.013"
"10.1016/s0304-3959(03)00331-2"
"10.1093/pm/pnaa303"
"10.1503/cmaj.110837"
"10.1016/j.cgh.2016.09.147"
"10.1097/ajp.0000000000000022"
"10.1007/s00415-012-6739-4"
"10.1111/dote.12455"
"10.1016/j.pain.2007.08.028"
"10.1016/j.clinthera.2007.09.013"
"10.1159/000481089"
"10.1016/j.jpain.2007.09.002"
"10.1016/j.pain.2012.06.024"
"10.1007/s00520-018-4154-9"
"10.1191/0269215503cr581oa"
"10.1016/j.jpain.2015.03.008"
"10.1503/cmaj.091414"
"10.1212/wnl.0000000000006293"
"10.1016/j.baga.2011.04.002"
"10.1136/jnnp-2012-302468"
